Credit,Jours,Type
1322368.51,0,Commerce
772891.9988,3,Consommation
147237.7396,11,Consommation
444891.4493,22,Consommation
331287.7785,33,Consommation
657206.26,94,Consommation
95312.97953,184,Commerce
1609308.384,337,Commerce
185157.5664,0,Consommation
1224859.72,4,Production
518755.0071,12,Consommation
203873.8415,15,Commerce
645129.6839,42,Commerce
59267.56006,92,Commerce
1228019.527,166,Consommation
2173808.75,302,Commerce
145025.4669,0,Consommation
189795.5442,4,Commerce
389887.4569,9,Production
741108.5942,19,Commerce
1021122.887,45,Commerce
642888.6231,84,Commerce
10956.777,160,Commerce
150856.3895,339,Commerce
975838.4837,0,Consommation
716949.8236,2,Commerce
885307.583,9,Commerce
389958.3336,16,Commerce
49371.53287,41,Consommation
1074640.224,75,Consommation
615946.3542,165,Commerce
640243.3763,323,Consommation
1087662.501,0,Commerce
1929813.61,10,Commerce
406883.1845,6,Commerce
523413.5874,18,Commerce
284425.5542,39,Consommation
1074096.34,76,Consommation
625419.2588,167,Commerce
492127.104,332,Commerce
155219.7576,0,Commerce
566633.1996,4,Commerce
322457.4464,9,Commerce
1758655.467,20,Commerce
1190288.126,38,Consommation
379500.6695,82,Commerce
1229440.039,152,Consommation
931169.5449,308,Consommation
1008099.577,0,Commerce
284426.8829,7,Commerce
779299.4095,17,Consommation
2019263.045,17,Production
1490814.5,40,Commerce
604595.6783,91,Commerce
933566.0773,140,Commerce
257125.5093,354,Commerce
1143257.35,0,Commerce
136506.1345,9,Commerce
1086025.239,5,Commerce
1328103.662,19,Commerce
1382519.264,33,Commerce
1190418.899,67,Commerce
163863.4861,141,Production
1314240.416,343,Commerce
497103.8038,0,Consommation
176576.7227,6,Consommation
598327.3952,12,Commerce
249729.3091,11,Consommation
347159.0633,41,Consommation
1358844.376,80,Consommation
768975.9054,166,Commerce
533785.4396,336,Consommation
1374563.242,0,Production
563658.3972,1,Consommation
1422047.251,13,Commerce
1287354.241,22,Consommation
936768.1762,32,Commerce
1418028.179,70,Commerce
1332073.143,160,Commerce
284693.7752,320,Production
1219355.78,0,Consommation
1693398.436,9,Consommation
546913.781,5,Commerce
773778.8217,16,Commerce
1443476.027,33,Commerce
1010013.42,60,Consommation
856606.5875,152,Commerce
879859.9546,312,Consommation
1374731.668,0,Consommation
486496.6753,4,Consommation
14815.91878,10,Consommation
558888.9119,18,Consommation
244017.6819,39,Production
744224.5573,74,Commerce
788915.1674,150,Commerce
891709.7459,314,Commerce
133132.9595,0,Commerce
314058.978,3,Consommation
476582.3213,4,Commerce
11865.07652,18,Production
1259124.249,43,Consommation
394614.0543,79,Consommation
20757.64399,167,Commerce
1544085.123,291,Commerce
149359.4564,0,Consommation
1723618.755,5,Production
574537.2271,12,Commerce
526360.882,14,Commerce
252532.5856,33,Consommation
843291.1543,83,Consommation
681067.8198,166,Production
1212600.859,289,Commerce
370448.3384,0,Commerce
697494.691,5,Commerce
135847.6658,5,Commerce
564729.3006,17,Consommation
1477633.971,38,Commerce
1452009.387,79,Commerce
840130.5251,196,Commerce
143282.7756,325,Commerce
203191.9941,0,Consommation
2183271.981,6,Commerce
151256.6536,5,Commerce
223094.1649,22,Consommation
1937659.027,39,Commerce
507864.2015,88,Commerce
473802.4742,169,Commerce
1122490.123,328,Commerce
287286.5133,0,Consommation
1184727.519,2,Commerce
1162541.131,9,Commerce
743716.891,24,Consommation
1001848.498,28,Production
1239331.988,81,Commerce
172275.8422,172,Commerce
321814.0511,324,Commerce
1458119.585,0,Commerce
339990.3398,2,Consommation
862769.7325,11,Consommation
596331.911,16,Commerce
2427191.677,42,Commerce
1437121.522,85,Commerce
1053298.979,146,Consommation
231306.1539,310,Commerce
783409.9378,0,Commerce
1726040.614,7,Commerce
170640.1392,4,Commerce
1514400.631,20,Commerce
1371746.152,43,Commerce
317983.3649,76,Consommation
2067475.046,148,Consommation
446619.9745,334,Commerce
1311179.364,0,Commerce
1449845.998,6,Commerce
271160.9023,12,Commerce
995880.9656,19,Commerce
2069778.894,42,Consommation
